Date,iRate_1D
1/5/98,6.74338E-05
1/6/98,6.73081E-05
1/7/98,6.74338E-05
1/8/98,6.61762E-05
1/9/98,6.51691E-05
1/12/98,6.60503E-05
1/13/98,6.66794E-05
1/14/98,6.68052E-05
1/15/98,6.61762E-05
1/16/98,6.64278E-05
1/20/98,6.6302E-05
1/21/98,6.61762E-05
1/22/98,6.61762E-05
1/23/98,6.66794E-05
1/26/98,6.73081E-05
1/27/98,6.75595E-05
1/28/98,6.74338E-05
1/29/98,6.70567E-05
1/30/98,6.69309E-05
2/2/98,6.78109E-05
2/3/98,6.78109E-05
2/4/98,6.59245E-05
2/5/98,6.6302E-05
2/6/98,6.66794E-05
2/9/98,6.73081E-05
2/10/98,6.71824E-05
2/11/98,6.73081E-05
2/12/98,6.73081E-05
2/13/98,6.73081E-05
2/17/98,6.70567E-05
2/18/98,6.70567E-05
2/19/98,6.71824E-05
2/20/98,6.71824E-05
2/23/98,6.80622E-05
2/24/98,6.79366E-05
2/25/98,6.84391E-05
2/26/98,6.88159E-05
2/27/98,6.85647E-05
3/2/98,6.78109E-05
3/3/98,6.74338E-05
3/4/98,6.69309E-05
3/5/98,6.68052E-05
3/6/98,6.64278E-05
3/9/98,6.59245E-05
3/10/98,6.56727E-05
3/11/98,6.56727E-05
3/12/98,6.55468E-05
3/13/98,6.56727E-05
3/16/98,6.60503E-05
3/17/98,6.6302E-05
3/18/98,6.66794E-05
3/19/98,6.68052E-05
3/20/98,6.69309E-05
3/23/98,6.66794E-05
3/24/98,6.66794E-05
3/25/98,6.68052E-05
3/26/98,6.73081E-05
3/27/98,6.71824E-05
3/30/98,6.68052E-05
3/31/98,6.65536E-05
4/1/98,6.60503E-05
4/2/98,6.57986E-05
4/3/98,6.55468E-05
4/6/98,6.57986E-05
4/7/98,6.54209E-05
4/8/98,6.5295E-05
4/9/98,6.54209E-05
4/13/98,6.69309E-05
4/14/98,6.65536E-05
4/15/98,6.55468E-05
4/16/98,6.50431E-05
4/17/98,6.51691E-05
4/20/98,6.55468E-05
4/21/98,6.54209E-05
4/22/98,6.56727E-05
4/23/98,6.56727E-05
4/24/98,6.55468E-05
4/27/98,6.55468E-05
4/28/98,6.5295E-05
4/29/98,6.54209E-05
4/30/98,6.45393E-05
5/1/98,6.47913E-05
5/4/98,6.57986E-05
5/5/98,6.59245E-05
5/6/98,6.59245E-05
5/7/98,6.60503E-05
5/8/98,6.6302E-05
5/11/98,6.6302E-05
5/12/98,6.60503E-05
5/13/98,6.60503E-05
5/14/98,6.68052E-05
5/15/98,6.68052E-05
5/18/98,6.70567E-05
5/19/98,6.74338E-05
5/20/98,6.71824E-05
5/21/98,6.75595E-05
5/22/98,6.73081E-05
5/26/98,6.66794E-05
5/27/98,6.56727E-05
5/28/98,6.54209E-05
5/29/98,6.49173E-05
6/1/98,6.55468E-05
6/2/98,6.55468E-05
6/3/98,6.61762E-05
6/4/98,6.60503E-05
6/5/98,6.60503E-05
6/8/98,6.65536E-05
6/9/98,6.66794E-05
6/10/98,6.6302E-05
6/11/98,6.59245E-05
6/12/98,6.61762E-05
6/15/98,6.65536E-05
6/16/98,6.70567E-05
6/17/98,6.74338E-05
6/18/98,6.69309E-05
6/19/98,6.66794E-05
6/22/98,6.59245E-05
6/23/98,6.57986E-05
6/24/98,6.50431E-05
6/25/98,6.47913E-05
6/26/98,6.46653E-05
6/29/98,6.65536E-05
6/30/98,6.57986E-05
7/1/98,6.56727E-05
7/2/98,6.54209E-05
7/6/98,6.56727E-05
7/7/98,6.55468E-05
7/8/98,6.56727E-05
7/9/98,6.54209E-05
7/10/98,6.5295E-05
7/13/98,6.61762E-05
7/14/98,6.65536E-05
7/15/98,6.6302E-05
7/16/98,6.66794E-05
7/17/98,6.6302E-05
7/20/98,6.56727E-05
7/21/98,6.56727E-05
7/22/98,6.54209E-05
7/23/98,6.56727E-05
7/24/98,6.55468E-05
7/27/98,6.5295E-05
7/28/98,6.54209E-05
7/29/98,6.54209E-05
7/30/98,6.54209E-05
7/31/98,6.57986E-05
8/3/98,6.61762E-05
8/4/98,6.57986E-05
8/5/98,6.55468E-05
8/6/98,6.49173E-05
8/7/98,6.44133E-05
8/10/98,6.54209E-05
8/11/98,6.49173E-05
8/12/98,6.47913E-05
8/13/98,6.50431E-05
8/14/98,6.49173E-05
8/17/98,6.54209E-05
8/18/98,6.5295E-05
8/19/98,6.54209E-05
8/20/98,6.50431E-05
8/21/98,6.46653E-05
8/24/98,6.55468E-05
8/25/98,6.56727E-05
8/26/98,6.5295E-05
8/27/98,6.44133E-05
8/28/98,6.3405E-05
8/31/98,6.40353E-05
9/1/98,6.3531E-05
9/2/98,6.3405E-05
9/3/98,6.23958E-05
9/4/98,6.27744E-05
9/8/98,6.37832E-05
9/9/98,6.30267E-05
9/10/98,6.17648E-05
9/11/98,6.29005E-05
9/14/98,6.23958E-05
9/15/98,6.1891E-05
9/16/98,6.12597E-05
9/17/98,6.07544E-05
9/18/98,5.98697E-05
9/21/98,6.22697E-05
9/22/98,6.21434E-05
9/23/98,6.03753E-05
9/24/98,5.88579E-05
9/25/98,5.84782E-05
9/28/98,5.89844E-05
9/29/98,5.87313E-05
9/30/98,5.65784E-05
10/1/98,5.48028E-05
10/2/98,5.46759E-05
10/5/98,5.48028E-05
10/6/98,5.41681E-05
10/7/98,5.37871E-05
10/8/98,5.04807E-05
10/9/98,5.03534E-05
10/13/98,5.17534E-05
10/14/98,5.2135E-05
10/15/98,5.37871E-05
10/16/98,4.74213E-05
10/19/98,5.11172E-05
10/20/98,5.12444E-05
10/21/98,5.18806E-05
10/22/98,5.16262E-05
10/23/98,5.1499E-05
10/26/98,5.26436E-05
10/27/98,5.26436E-05
10/28/98,5.54373E-05
10/29/98,5.59446E-05
10/30/98,5.60713E-05
11/2/98,5.87313E-05
11/3/98,5.82251E-05
11/4/98,5.89844E-05
11/5/98,5.92374E-05
11/6/98,5.99961E-05
11/9/98,5.92374E-05
11/10/98,5.87313E-05
11/12/98,5.79719E-05
11/13/98,5.78453E-05
11/16/98,5.84782E-05
11/17/98,5.7212E-05
11/18/98,5.74653E-05
11/19/98,5.77186E-05
11/20/98,5.77186E-05
11/23/98,5.93639E-05
11/24/98,5.97433E-05
11/25/98,5.91109E-05
11/27/98,5.88579E-05
11/30/98,5.91109E-05
12/1/98,5.80985E-05
12/2/98,5.79719E-05
12/3/98,5.7592E-05
12/4/98,5.79719E-05
12/7/98,5.77186E-05
12/8/98,5.73386E-05
12/9/98,5.73386E-05
12/10/98,5.79719E-05
12/11/98,5.82251E-05
12/14/98,5.80985E-05
12/15/98,5.80985E-05
12/16/98,5.77186E-05
12/17/98,5.77186E-05
12/18/98,5.80985E-05
12/21/98,5.83517E-05
12/22/98,5.82251E-05
12/23/98,5.92374E-05
12/24/98,5.91109E-05
12/28/98,5.89844E-05
12/29/98,5.93639E-05
12/30/98,5.88579E-05
12/31/98,5.79719E-05
1/4/99,5.80985E-05
1/5/99,5.79719E-05
1/6/99,5.78453E-05
1/7/99,5.74653E-05
1/8/99,5.79719E-05
1/11/99,5.83517E-05
1/12/99,5.79719E-05
1/13/99,5.7592E-05
1/14/99,5.74653E-05
1/15/99,5.74653E-05
1/19/99,5.70854E-05
1/20/99,5.65784E-05
1/21/99,5.59446E-05
1/22/99,5.64517E-05
1/25/99,5.74653E-05
1/26/99,5.77186E-05
1/27/99,5.78453E-05
1/28/99,5.80985E-05
1/29/99,5.79719E-05
2/1/99,5.86048E-05
2/2/99,5.86048E-05
2/3/99,5.79719E-05
2/4/99,5.80985E-05
2/5/99,5.82251E-05
2/8/99,5.87313E-05
2/9/99,5.86048E-05
2/10/99,5.79719E-05
2/11/99,5.82251E-05
2/12/99,5.87313E-05
2/16/99,5.89844E-05
2/17/99,5.84782E-05
2/18/99,5.86048E-05
2/19/99,5.89844E-05
2/22/99,6.01226E-05
2/23/99,6.02489E-05
2/24/99,6.03753E-05
2/25/99,5.97433E-05
2/26/99,6.02489E-05
3/1/99,6.08807E-05
3/2/99,6.02489E-05
3/3/99,5.97433E-05
3/4/99,5.97433E-05
3/5/99,5.98697E-05
3/8/99,5.99961E-05
3/9/99,5.94904E-05
3/10/99,5.94904E-05
3/11/99,5.97433E-05
3/12/99,5.94904E-05
3/15/99,5.96168E-05
3/16/99,5.88579E-05
3/17/99,5.86048E-05
3/18/99,5.83517E-05
3/19/99,5.83517E-05
3/22/99,5.84782E-05
3/23/99,5.82251E-05
3/24/99,5.82251E-05
3/25/99,5.83517E-05
3/26/99,5.83517E-05
3/29/99,5.83517E-05
3/30/99,5.79719E-05
3/31/99,5.80985E-05
4/1/99,5.74653E-05
4/2/99,5.73386E-05
4/5/99,5.69586E-05
4/6/99,5.7212E-05
4/7/99,5.7212E-05
4/8/99,5.69586E-05
4/9/99,5.7212E-05
4/12/99,5.59446E-05
4/13/99,5.59446E-05
4/14/99,5.56909E-05
4/15/99,5.59446E-05
4/16/99,5.61981E-05
4/19/99,5.64517E-05
4/20/99,5.67052E-05
4/21/99,5.64517E-05
4/22/99,5.69586E-05
4/23/99,5.73386E-05
4/26/99,5.78453E-05
4/27/99,5.82251E-05
4/28/99,5.83517E-05
4/29/99,5.83517E-05
4/30/99,5.88579E-05
5/3/99,5.97433E-05
5/4/99,5.98697E-05
5/5/99,5.96168E-05
5/6/99,5.97433E-05
5/7/99,5.97433E-05
5/10/99,5.94904E-05
5/11/99,5.97433E-05
5/12/99,5.94904E-05
5/13/99,5.93639E-05
5/14/99,5.99961E-05
5/17/99,6.08807E-05
5/18/99,6.02489E-05
5/19/99,5.98697E-05
5/20/99,5.96168E-05
5/21/99,5.96168E-05
5/24/99,5.99961E-05
5/25/99,5.99961E-05
5/26/99,6.02489E-05
5/27/99,6.01226E-05
5/28/99,6.02489E-05
6/1/99,6.16385E-05
6/2/99,6.12597E-05
6/3/99,6.01226E-05
6/4/99,5.91109E-05
6/7/99,5.99961E-05
6/8/99,5.97433E-05
6/9/99,5.94904E-05
6/10/99,6.03753E-05
6/11/99,6.12597E-05
6/14/99,6.15123E-05
6/15/99,6.12597E-05
6/16/99,6.03753E-05
6/17/99,5.99961E-05
6/18/99,6.06281E-05
6/21/99,6.12597E-05
6/22/99,6.11334E-05
6/23/99,6.11334E-05
6/24/99,6.12597E-05
6/25/99,6.20173E-05
6/28/99,6.30267E-05
6/29/99,6.25221E-05
6/30/99,6.17648E-05
7/1/99,6.05017E-05
7/2/99,6.06281E-05
7/6/99,6.10071E-05
7/7/99,6.03753E-05
7/8/99,6.05017E-05
7/9/99,6.06281E-05
7/12/99,6.12597E-05
7/13/99,6.08807E-05
7/14/99,6.10071E-05
7/15/99,6.07544E-05
7/16/99,6.05017E-05
7/19/99,6.03753E-05
7/20/99,5.99961E-05
7/21/99,5.93639E-05
7/22/99,5.96168E-05
7/23/99,6.01226E-05
7/26/99,6.05017E-05
7/27/99,6.07544E-05
7/28/99,6.08807E-05
7/29/99,6.10071E-05
7/30/99,6.1386E-05
8/2/99,6.26482E-05
8/3/99,6.25221E-05
8/4/99,6.17648E-05
8/5/99,6.12597E-05
8/6/99,6.20173E-05
8/9/99,6.40353E-05
8/10/99,6.39092E-05
8/11/99,6.3405E-05
8/12/99,6.1891E-05
8/13/99,6.12597E-05
8/16/99,6.25221E-05
8/17/99,6.23958E-05
8/18/99,6.15123E-05
8/19/99,6.15123E-05
8/20/99,6.25221E-05
8/23/99,6.46653E-05
8/24/99,6.44133E-05
8/25/99,6.36571E-05
8/26/99,6.36571E-05
8/27/99,6.42874E-05
8/30/99,6.46653E-05
8/31/99,6.42874E-05
9/1/99,6.41613E-05
9/2/99,6.3531E-05
9/3/99,6.3531E-05
9/7/99,6.26482E-05
9/8/99,6.23958E-05
9/9/99,6.21434E-05
9/10/99,6.15123E-05
9/13/99,6.20173E-05
9/14/99,6.23958E-05
9/15/99,6.1386E-05
9/16/99,6.07544E-05
9/17/99,6.03753E-05
9/20/99,6.21434E-05
9/21/99,6.1891E-05
9/22/99,6.23958E-05
9/23/99,6.22697E-05
9/24/99,6.17648E-05
9/27/99,6.29005E-05
9/28/99,6.26482E-05
9/29/99,6.23958E-05
9/30/99,6.30267E-05
10/1/99,6.30267E-05
10/4/99,6.29005E-05
10/5/99,6.27744E-05
10/6/99,6.21434E-05
10/7/99,6.25221E-05
10/8/99,6.22697E-05
10/12/99,6.36571E-05
10/13/99,6.42874E-05
10/14/99,6.47913E-05
10/15/99,6.50431E-05
10/18/99,6.64278E-05
10/19/99,6.64278E-05
10/20/99,6.64278E-05
10/21/99,6.6302E-05
10/22/99,6.54209E-05
10/25/99,6.6302E-05
10/26/99,6.64278E-05
10/27/99,6.6302E-05
10/28/99,6.59245E-05
10/29/99,6.60503E-05
11/1/99,6.65536E-05
11/2/99,6.6302E-05
11/3/99,6.60503E-05
11/4/99,6.57986E-05
11/5/99,6.6302E-05
11/8/99,6.70567E-05
11/9/99,6.69309E-05
11/10/99,6.70567E-05
11/12/99,6.74338E-05
11/15/99,6.81878E-05
11/16/99,6.81878E-05
11/17/99,6.75595E-05
11/18/99,6.74338E-05
11/19/99,6.74338E-05
11/22/99,6.79366E-05
11/23/99,6.79366E-05
11/24/99,6.81878E-05
11/26/99,6.83134E-05
11/29/99,6.9067E-05
11/30/99,6.83134E-05
12/1/99,6.79366E-05
12/2/99,6.76852E-05
12/3/99,6.76852E-05
12/6/99,6.73081E-05
12/7/99,6.73081E-05
12/8/99,6.73081E-05
12/9/99,6.76852E-05
12/10/99,6.83134E-05
12/13/99,6.94436E-05
12/14/99,6.94436E-05
12/15/99,6.89415E-05
12/16/99,6.94436E-05
12/17/99,7.0071E-05
12/20/99,7.24527E-05
12/21/99,7.19516E-05
12/22/99,7.15757E-05
12/23/99,7.04474E-05
12/27/99,7.04474E-05
12/28/99,6.96946E-05
12/29/99,6.74338E-05
12/30/99,6.73081E-05
12/31/99,6.86903E-05
1/3/00,7.05728E-05
1/4/00,6.99456E-05
1/5/00,7.0071E-05
1/6/00,6.96946E-05
1/7/00,6.93181E-05
1/10/00,6.98201E-05
1/11/00,6.99456E-05
1/12/00,7.01966E-05
1/13/00,6.96946E-05
1/14/00,6.96946E-05
1/18/00,7.15757E-05
1/19/00,7.0949E-05
1/20/00,7.05728E-05
1/21/00,7.04474E-05
1/24/00,7.14504E-05
1/25/00,7.17011E-05
1/26/00,7.18263E-05
1/27/00,7.19516E-05
1/28/00,7.27031E-05
1/31/00,7.40797E-05
2/1/00,7.34541E-05
2/2/00,7.28283E-05
2/3/00,7.24527E-05
2/4/00,7.29535E-05
2/7/00,7.35793E-05
2/8/00,7.32039E-05
2/9/00,7.28283E-05
2/10/00,7.29535E-05
2/11/00,7.28283E-05
2/14/00,7.30787E-05
2/15/00,7.39546E-05
2/16/00,7.37044E-05
2/17/00,7.38295E-05
2/18/00,7.39546E-05
2/22/00,7.483E-05
2/23/00,7.483E-05
2/24/00,7.4705E-05
2/25/00,7.44549E-05
2/28/00,7.45799E-05
2/29/00,7.43299E-05
3/1/00,7.40797E-05
3/2/00,7.40797E-05
3/3/00,7.44549E-05
3/6/00,7.52049E-05
3/7/00,7.4955E-05
3/8/00,7.4955E-05
3/9/00,7.483E-05
3/10/00,7.54549E-05
3/13/00,7.57048E-05
3/14/00,7.54549E-05
3/15/00,7.52049E-05
3/16/00,7.54549E-05
3/17/00,7.57048E-05
3/20/00,7.64541E-05
3/21/00,7.59546E-05
3/22/00,7.59546E-05
3/23/00,7.58297E-05
3/24/00,7.59546E-05
3/27/00,7.55799E-05
3/28/00,7.55799E-05
3/29/00,7.57048E-05
3/30/00,7.55799E-05
3/31/00,7.55799E-05
